# "minimal" remix - the absolute minimum set of packages required for the minetest mapgen to work
# See the STANDARDS file for more information about what belongs in each category, and what does not

# node_name | original_mod

# Base packages
base_minimal|unilib
# Liquids
liquid_lava_ordinary|default
liquid_water_ordinary|default
liquid_water_river|default
# Stone
stone_ordinary|default moreblocks technic

# supporting packages (.optional)
#grass_jungle|default
#mineral_mese|default
#moss_green|sickles
#stone_obsidian|default moreblocks
