# "pkarcs" remix - contains everything from the pkarcs modpack (TumeniNodes version)
# See the STANDARDS file for more information about what belongs in each category, and what does not

# node_name | original_mod

# pkarcs_doors / pkarcs_doors3 packages
door_arched_metal_bars|pkarcs_doors pkarcs_doors3
door_arched_metal_bronze|pkarcs_doors pkarcs_doors3
door_arched_metal_copper|pkarcs_doors pkarcs_doors3
door_arched_metal_iron|pkarcs_doors pkarcs_doors3
door_arched_metal_steel|pkarcs_doors pkarcs_doors3
door_arched_metal_tin|pkarcs_doors pkarcs_doors3
door_arched_wood_acacia|pkarcs_doors pkarcs_doors3
door_arched_wood_apple|pkarcs_doors pkarcs_doors3
door_arched_wood_aspen|pkarcs_doors pkarcs_doors3
door_arched_wood_jungle|pkarcs_doors pkarcs_doors3
door_arched_wood_pine|pkarcs_doors pkarcs_doors3
shared_pkarcs|pkarcs_doors pkarcs_doors3

# supporting packages (.depends)
fruit_apple|default
metal_bronze|default technic
metal_copper|default moreblocks technic
metal_iron|default
metal_steel|default technic
metal_tin|default technic
pane_steel_bar|xpanes
tree_acacia|default doors moreblocks
tree_apple|default doors moreblocks
tree_aspen|default doors moreblocks
tree_jungle|default doors moreblocks
tree_pine|default doors moreblocks

# supporting packages (.optional)
#dye_basic|dye bakedclay
#item_book_ordinary|default
#item_stick_ordinary|default
#item_sweeper|moreblocks
#mushroom_brown|flowers
#mushroom_red|flowers
#vessel_bottle_glass_empty|thirsty vessels
