# "snow" remix - contains everything from the "snow biomes" mod
# See the STANDARDS file for more information about what belongs in each category, and what does not

# node_name | original_mod

# snow packages
abm_snow_freezing|snow
abm_snow_remove|snow
flower_frozen|snow
fruit_apple_frozen|snow
ice_hard|snow
item_sledge|snow
moss_snow|snow
override_snow|snow
plant_shrub_frozen|snow
shared_snow|snow
snow_hard|snow
tree_apple_frozen|snow
tree_pine_christmas|snow
tree_pine_frozen|snow
weather_snowflakes|snow

# snow packages (in original mod, disabled by default)
biome_snow_alpine|snow
biome_snow_forest|snow
biome_snow_lush|snow
biome_snow_normal|snow
biome_snow_sand|snow
deco_snow_snow_ordinary|snow
deco_snow_tree_pine_frozen|snow

# original/modified packages
deco_snow_flower_frozen|snow
deco_snow_plant_shrub_frozen|snow
deco_snow_tree_apple_frozen|snow

# supporting packages (.depends)
dirt_ordinary|default farming moreblocks
fruit_apple|default
ice_ordinary|default ethereal mtg_plus
liquid_water_ordinary|default
sand_ordinary|default
stone_ordinary|default moreblocks technic
tree_apple|default doors moreblocks
tree_pine|default doors moreblocks

# supporting packages (.at_least_one)
flower_chrysanthemum_green|flowers
flower_dandelion_white|flowers
flower_dandelion_yellow|flowers
flower_geranium_blue|flowers
flower_rose_red|flowers
flower_tulip_black|flowers
flower_tulip_orange|flowers
flower_viola_purple|flowers
snow_ordinary|default ethereal mtg_plus

# supporting packages (.optional)
#dye_basic|dye bakedclay
#grass_dry|default
#grass_jungle|default
#grass_ordinary|default
#item_stick_ordinary|default
#mineral_mese|default
#moss_green|sickles
#mushroom_brown|flowers
#mushroom_red|flowers
#soil_ordinary|farming
